experiment,hour,date_of_week,device_make,browser
0,20,2,10,1
0,17,2,10,1
1,16,5,10,1
0,10,5,2,4
1,18,3,10,1
1,17,2,58,2
0,15,4,10,1
1,8,4,69,7
0,15,4,10,1
0,4,6,1,1
1,10,5,10,1
0,15,4,63,4
0,9,5,10,1
1,2,5,0,4
1,0,4,10,1
0,16,3,10,1
0,15,4,10,1
1,14,6,10,1
0,8,0,10,1
1,22,1,10,1
1,8,3,10,1
1,15,2,100,4
0,11,5,109,3
0,18,3,10,1
1,1,5,10,1
1,5,3,10,1
1,20,1,68,2
1,4,3,70,2
1,6,0,10,1
0,15,4,69,4
1,11,5,73,2
0,16,4,43,7
1,12,4,10,1
1,15,5,10,2
0,16,2,44,7
1,19,2,10,2
0,13,2,70,4
0,16,1,10,1
1,6,6,10,1
1,8,6,65,1
1,18,5,10,1
0,9,6,10,1
1,15,6,10,1
1,2,0,23,1
0,5,6,10,1
1,7,2,10,1
1,5,0,78,7
0,19,6,69,7
0,15,4,21,4
0,15,4,10,1
0,15,2,10,1
1,22,2,10,1
0,15,3,10,1
1,14,4,10,1
1,9,0,10,1
0,18,2,40,7
0,20,3,69,4
1,9,3,10,2
0,22,2,63,4
1,5,2,32,2
0,4,3,10,1
0,8,4,69,2
1,7,6,10,1
0,15,4,20,4
0,15,4,40,2
0,15,4,10,1
1,19,6,10,1
1,18,2,10,1
1,0,4,10,1
1,8,4,59,2
1,7,5,10,1
1,9,5,10,1
0,9,1,62,4
1,1,4,10,1
0,17,5,10,1
0,15,4,10,1
0,11,5,10,1
0,14,2,10,1
1,8,3,10,1
0,0,6,10,1
0,7,0,24,2
0,10,1,10,1
1,21,3,70,7
0,15,4,59,2
1,4,0,10,1
1,15,2,40,7
1,2,6,10,2
1,10,4,6,2
1,8,4,10,1
0,20,5,10,1
0,9,4,63,2
1,8,0,34,2
0,15,4,43,7
0,9,5,62,4
0,15,4,10,1
0,15,4,10,1
1,13,6,66,7
1,8,6,10,1
0,5,2,10,1
1,17,3,10,1
1,2,4,24,2
0,18,6,76,1
1,10,4,23,1
0,13,5,49,7
0,15,4,69,4
1,4,2,10,1
0,15,4,51,4
1,20,3,10,1
1,9,1,58,7
0,15,4,65,2
0,15,4,61,7
1,1,5,10,1
1,11,5,10,1
0,15,4,65,4
1,0,6,10,2
1,11,5,50,2
1,22,3,50,2
0,13,3,74,2
0,17,5,10,1
0,19,2,39,7
0,14,3,69,4
1,8,4,10,1
1,9,5,10,1
0,15,4,109,5
1,6,3,10,1
1,18,3,78,7
0,9,3,39,7
0,15,4,38,7
0,15,4,10,1
0,3,1,79,4
1,0,4,10,2
0,7,4,10,1
0,11,3,10,1
0,6,4,63,4
1,6,0,10,1
0,11,5,68,4
1,5,4,65,7
1,7,0,10,1
0,15,4,49,7
1,19,2,10,1
0,4,4,52,7
1,17,2,18,2
0,7,6,71,4
0,1,3,10,1
0,17,1,109,6
1,10,4,69,7
1,19,2,10,1
0,15,4,10,1
1,0,4,10,1
1,15,2,10,1
0,0,5,104,4
1,4,4,16,4
0,15,4,10,1
1,22,2,10,1
0,15,4,10,1
1,9,1,10,1
0,14,4,109,6
1,15,2,31,4
1,18,1,10,1
1,20,2,10,1
1,22,2,72,4
1,3,0,10,1
1,12,6,65,4
1,14,5,65,2
0,1,0,84,7
0,15,4,73,4
1,7,4,19,2
1,21,2,10,2
1,17,1,72,7
1,18,2,10,1
1,15,5,10,1
0,15,4,44,7
1,3,0,68,7
0,5,1,23,1
0,12,3,10,1
1,12,2,56,2
0,15,4,10,1
0,19,3,65,7
0,16,5,10,1
0,21,6,10,1
1,4,1,10,1
1,8,2,54,7
0,14,5,50,7
1,7,2,93,4
0,7,1,10,1
1,15,2,10,2
1,16,2,10,1
1,20,2,45,2
1,16,5,58,2
1,6,5,3,4
0,21,6,10,1
0,4,6,10,1
0,21,1,10,1
0,15,4,10,1
0,5,6,10,1
0,13,1,10,1
0,15,4,65,2
1,3,4,10,1
1,12,4,45,2
0,5,4,40,7
1,9,4,40,2
1,9,1,10,2
0,15,4,20,4
1,1,3,10,1
0,3,1,10,1
1,12,1,10,1
1,15,3,10,1
1,13,5,10,1
0,5,6,10,1
1,6,5,63,2
0,14,4,97,4
1,19,1,65,7
1,1,0,10,1
0,15,1,10,1
0,12,4,18,1
0,15,4,78,7
0,15,4,10,1
0,9,0,10,1
0,16,2,61,2
1,6,3,16,2
1,17,1,47,2
1,11,6,43,7
1,8,3,10,1
1,9,0,70,2
0,15,4,10,1
0,11,5,109,5
1,13,2,10,1
0,15,4,10,1
0,12,6,74,7
0,9,4,10,1
0,7,4,63,2
0,22,3,10,1
1,13,1,50,4
0,15,4,10,1
1,13,5,10,1
0,15,4,39,7
1,5,5,10,1
1,14,3,10,1
1,9,1,10,4
0,10,3,16,4
1,5,0,45,7
0,15,4,40,7
1,14,3,10,1
1,15,5,10,1
0,15,4,66,4
0,15,4,10,1
0,5,6,10,1
0,20,2,3,4
0,15,4,10,1
0,8,5,10,1
1,3,6,10,1
1,16,2,10,1
0,15,4,10,1
1,20,5,10,2
1,2,4,63,4
1,20,2,10,1
0,15,4,10,1
0,20,3,61,4
1,2,5,10,1
1,11,4,10,1
1,7,6,10,2
0,15,4,10,1
1,14,5,10,1
1,1,4,55,2
1,8,3,68,2
1,2,4,10,1
0,15,4,10,1
0,4,3,23,1
0,15,4,91,4
